id_bueiro,regiao,obstrucao_sensor_percentual,previsao_chuva_24h_mm,historico_alagamento_regiao,risco_enchente_alvo
BUE-0001,Zona Oeste,75,77,10,1
BUE-0002,Centro,99,11,10,1
BUE-0003,Zona Norte,67,105,8,1
BUE-0004,Centro,4,19,5,0
BUE-0005,Centro,36,52,0,0
BUE-0006,Zona Leste,71,113,0,1
BUE-0007,Zona Norte,91,87,5,1
BUE-0008,Zona Norte,30,42,3,0
BUE-0009,Zona Norte,8,97,3,0
BUE-0010,Centro,50,88,10,1
BUE-0011,Zona Oeste,28,49,5,0
BUE-0012,Zona Norte,77,28,10,0
BUE-0013,Centro,39,56,6,0
BUE-0014,Zona Leste,40,38,8,0
BUE-0015,Zona Oeste,85,94,9,1
BUE-0016,Zona Leste,10,55,4,0
BUE-0017,Zona Oeste,22,110,8,0
BUE-0018,Centro,0,42,3,0
BUE-0019,Zona Sul,45,49,9,0
BUE-0020,Zona Oeste,100,22,1,0
BUE-0021,Zona Leste,20,43,2,0
BUE-0022,Centro,89,37,10,0
BUE-0023,Zona Oeste,35,83,0,0
BUE-0024,Zona Sul,53,22,5,0
BUE-0025,Zona Sul,86,44,5,0
BUE-0026,Zona Norte,56,51,0,0
BUE-0027,Zona Norte,0,79,10,0
BUE-0028,Zona Leste,62,49,2,0
BUE-0029,Zona Oeste,53,105,4,1
BUE-0030,Zona Oeste,54,118,2,0
BUE-0031,Zona Norte,39,7,9,0
BUE-0032,Zona Oeste,14,113,2,1
BUE-0033,Zona Oeste,20,84,9,1
BUE-0034,Zona Sul,46,0,2,0
BUE-0035,Zona Norte,72,118,4,1
BUE-0036,Centro,52,7,4,0
BUE-0037,Zona Norte,8,28,3,0
BUE-0038,Centro,73,95,0,1
BUE-0039,Zona Sul,51,101,4,0
BUE-0040,Zona Leste,56,4,9,0
BUE-0041,Zona Oeste,25,110,4,0
BUE-0042,Zona Sul,40,85,3,0
BUE-0043,Zona Oeste,34,46,5,0
BUE-0044,Zona Leste,62,33,9,0
BUE-0045,Zona Leste,24,64,3,0
BUE-0046,Zona Sul,89,54,6,1
BUE-0047,Zona Leste,74,118,6,1
BUE-0048,Centro,37,89,1,0
BUE-0049,Zona Leste,1,42,2,0
BUE-0050,Zona Oeste,6,73,0,0
BUE-0051,Zona Oeste,81,29,7,1
BUE-0052,Zona Oeste,90,113,8,1
BUE-0053,Zona Oeste,33,81,3,0
BUE-0054,Centro,90,16,5,1
BUE-0055,Zona Norte,16,25,8,0
BUE-0056,Zona Sul,42,7,5,0
BUE-0057,Zona Oeste,58,46,8,1
BUE-0058,Zona Leste,50,103,3,1
BUE-0059,Zona Oeste,53,112,7,1
BUE-0060,Zona Leste,23,75,8,0
BUE-0061,Zona Leste,24,90,3,0
BUE-0062,Zona Oeste,70,71,4,1
BUE-0063,Centro,51,88,7,1
BUE-0064,Zona Leste,69,45,9,1
BUE-0065,Zona Leste,87,67,5,1
BUE-0066,Zona Oeste,32,32,6,0
BUE-0067,Zona Leste,48,0,2,0
BUE-0068,Zona Leste,28,18,6,0
BUE-0069,Zona Oeste,62,30,7,0
BUE-0070,Zona Oeste,21,79,9,0
BUE-0071,Zona Sul,25,13,5,0
BUE-0072,Centro,27,52,9,0
BUE-0073,Centro,84,47,8,0
BUE-0074,Zona Leste,48,68,5,0
BUE-0075,Centro,70,104,8,1
BUE-0076,Zona Leste,80,89,3,1
BUE-0077,Zona Sul,83,61,7,1
BUE-0078,Zona Oeste,48,91,10,1
BUE-0079,Zona Oeste,19,65,3,0
BUE-0080,Zona Oeste,85,113,1,1
BUE-0081,Centro,91,63,9,1
BUE-0082,Zona Sul,62,69,10,1
BUE-0083,Centro,60,62,8,0
BUE-0084,Centro,48,72,4,0
BUE-0085,Zona Sul,70,32,3,1
BUE-0086,Zona Sul,0,40,1,0
BUE-0087,Zona Sul,95,88,0,1
BUE-0088,Zona Sul,12,47,10,0
BUE-0089,Zona Oeste,93,12,6,0
BUE-0090,Zona Norte,86,72,5,1
BUE-0091,Zona Norte,50,116,1,0
BUE-0092,Zona Sul,55,76,7,1
BUE-0093,Zona Norte,82,30,10,0
BUE-0094,Zona Norte,61,104,3,1
BUE-0095,Zona Sul,31,74,7,0
BUE-0096,Zona Norte,29,67,6,1
BUE-0097,Centro,28,97,4,0
